language,id,text,file,node,lineNumber,lock,comment
en-US,line:02e988f,Yabancı: Merhaba.,Assets/Yarn/NewYarnScript.yarn,HelloThere,4,3f1380f0,
en-US,line:08fb4da,Yabancı: Oturmak ister misiniz?,Assets/Yarn/NewYarnScript.yarn,HelloThere,5,c072e1a5,Line metadata: lastline
en-US,line:086bd96,Oyuncu: Evet.,Assets/Yarn/NewYarnScript.yarn,HelloThere,6,aabe1723,
en-US,line:040654b,"Oyuncu: Hayır, teşekkürler.",Assets/Yarn/NewYarnScript.yarn,HelloThere,10,4a1ffc75,
en-US,line:08c4f2c,"Yabancı: Ne güzel bir sonbahar günü, değil mi?",Assets/Yarn/NewYarnScript.yarn,HarvestSeason,15,021c20f1,
en-US,line:0b4c1d4,Yabancı: Yoksa “hasat” günü mü demeliydim?,Assets/Yarn/NewYarnScript.yarn,HarvestSeason,16,cff2889d,Line metadata: lastline
en-US,line:058e422,Evet.,Assets/Yarn/NewYarnScript.yarn,HarvestSeason,17,5f9a2b79,
en-US,line:09920ff,Neden “hasat” günü?,Assets/Yarn/NewYarnScript.yarn,HarvestSeason,19,a2e440b0,
en-US,line:0c6d60a,"Yabancı: Eski İngilizcede “hasat”, “sonbahar” anlamına gelirdi.",Assets/Yarn/NewYarnScript.yarn,HarvestSeasonExplain,25,cd8426df,
en-US,line:0754f1e,"Yabancı: Bilirsin, hasatlarını yılın o zamanı topluyorlar.",Assets/Yarn/NewYarnScript.yarn,HarvestSeasonExplain,26,40f4b9c5,
en-US,line:00d00e4,Yabancı: Ve bu şairane.,Assets/Yarn/NewYarnScript.yarn,HarvestSeasonExplain,27,4997d159,
en-US,line:0e6120c,Yabancı: Ve bu benim en sevdiğim mevsim.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,33,a9be406e,
en-US,line:0fcc9bc,Yabancı: Yaşayanların vefat edip buradan öte bir varlık seviyesine ulaştığı zaman.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,34,f41ed21a,Line metadata: lastline
en-US,line:03397c0,Benim de.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,35,9722340d,
en-US,line:0b35e38,Ben kışın huzurunu seviyorum.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,37,5dca886a,
en-US,line:0c576df,Ben yaz insanıyım.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,39,950322f1,
en-US,line:0b3624e,Baharın getirdiği neşeyi severim.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,41,09cc8950,
en-US,line:09a66bd,"Yabancı: Ah, en sevdiğin mevsimin {0} olduğunu biliyorum.",Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,47,966052a2,
en-US,line:09751fe,"Yabancı: İşin doğrusu, senin hakkında *her şeyi* biliyorum.",Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,48,18809840,
en-US,line:0a763b8,Ah?,Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,50,a6a744d6,
en-US,line:09d7187,Cidden mi?,Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,51,293cc02d,
en-US,line:0fd51cd,Yabancı: Seni izliyorum.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,57,3aa36aa5,
en-US,line:098ec29,Yabancı: Bu parkta dolaşmaya başladığından beri değil.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,58,b80b8108,
en-US,line:0284f3a,Yabancı: Şöhret seni ödüllü bir gazeteci olarak bulduğundan beri de değil.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,59,43eb3ed2,
en-US,line:074c735,Yabancı: Sen doğduğundan beri.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,60,30a7d469,Line metadata: lastline
en-US,line:0cef76d,Sen kimsin?,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,61,80495816,
en-US,line:0bbd700,Yabancı: Ben bir insan değilim.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,62,73e274a5,
en-US,line:01e31e6,Yabancı: Doğru soru “kim” değil.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,63,dc9462b2,
en-US,line:0dba003,Sen nesin?,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,65,84539fc3,
en-US,line:0360d13,"Yabancı: “Ne” doğru soru, zira ben senin gibi insan değilim.",Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,66,f0bac1d0,
en-US,line:0e3d6aa,"Hasatçı: Bana ""Hasatçı"" de.",Assets/Yarn/NewYarnScript.yarn,HasatçıReveal,73,02865f95,
en-US,line:04a289c,"Hasatçı: Ama şu an mühim olan senin kim olduğun, benim değil.",Assets/Yarn/NewYarnScript.yarn,HasatçıReveal,74,7a587d9f,
en-US,line:07c48e8,Hasatçı: Sen kendini adalet ve hakikate adamış bir adamsın.,Assets/Yarn/NewYarnScript.yarn,HasatçıReveal,75,6180ced4,
en-US,line:08b99ca,"Hasatçı: Çocukken, zayıfken adaletsizlikten çok çektin.",Assets/Yarn/NewYarnScript.yarn,HasatçıReveal,76,7977d8af,
en-US,line:0254409,Hasatçı: Onun dünyaya musallat olmasına katlanamamanın nedenlerinden biri de bu.,Assets/Yarn/NewYarnScript.yarn,HasatçıReveal,77,d11807be,
en-US,line:0aca64d,"Hasatçı: Bu kalıbı sınırsız ruhta gördüm, senin gibilerinde. ",Assets/Yarn/NewYarnScript.yarn,HasatçıReveal,78,34d4c00b,
