language,id,text,file,node,lineNumber,lock,comment
en-US,line:02e988f,Незнайомець: Привіт.,Assets/Yarn/NewYarnScript.yarn,HelloThere,4,3f1380f0,
en-US,line:08fb4da,Незнайомець: Бажаєте сісти?,Assets/Yarn/NewYarnScript.yarn,HelloThere,5,c072e1a5,Line metadata: lastline
en-US,line:086bd96,Гравець: Так.,Assets/Yarn/NewYarnScript.yarn,HelloThere,6,aabe1723,
en-US,line:040654b,"Гравець: Ні, дякую.",Assets/Yarn/NewYarnScript.yarn,HelloThere,10,4a1ffc75,
en-US,line:08c4f2c,"Незнайомець: Який чудовий осінній день, чи не так?",Assets/Yarn/NewYarnScript.yarn,HarvestSeason,15,021c20f1,
en-US,line:0b4c1d4,Незнайомець: Або я мав сказати «День врожаю»?,Assets/Yarn/NewYarnScript.yarn,HarvestSeason,16,cff2889d,Line metadata: lastline
en-US,line:058e422,Так.,Assets/Yarn/NewYarnScript.yarn,HarvestSeason,17,5f9a2b79,
en-US,line:09920ff,Чому «День врожаю»?,Assets/Yarn/NewYarnScript.yarn,HarvestSeason,19,a2e440b0,
en-US,line:0c6d60a,Незнайомець: Староанглійською «День врожаю» означав «осінь».,Assets/Yarn/NewYarnScript.yarn,HarvestSeasonExplain,25,cd8426df,
en-US,line:0754f1e,"Незнайомець: Ви знаєте, вони збирали врожай в цю пору року.",Assets/Yarn/NewYarnScript.yarn,HarvestSeasonExplain,26,40f4b9c5,
en-US,line:00d00e4,Незнайомець: І це поетично.,Assets/Yarn/NewYarnScript.yarn,HarvestSeasonExplain,27,4997d159,
en-US,line:0e6120c,Незнайомець: І це моя улюблена пора року.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,33,a9be406e,
en-US,line:0fcc9bc,"Незнайомець: Коли щось зникає, щоб досягти вищого рівня існування.",Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,34,f41ed21a,Line metadata: lastline
en-US,line:03397c0,І я так само.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,35,9722340d,
en-US,line:0b35e38,Мені подобається зимовий спокій.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,41,5dca886a,
en-US,line:0c576df,Я людина літа.,Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,47,950322f1,
en-US,line:0b3624e,"Мені подобається радість, яку приносить весна.",Assets/Yarn/NewYarnScript.yarn,MyFavouriteSeason,53,09cc8950,
en-US,line:09a66bd,"Незнайомець: О, я знаю, що {0} — ваша улюблена пора року.",Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,63,966052a2,
en-US,line:09751fe,"Незнайомець: Насправді, я знаю про тебе *все*.",Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,64,18809840,
en-US,line:0a763b8,О?,Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,66,a6a744d6,
en-US,line:09d7187,Насправді?,Assets/Yarn/NewYarnScript.yarn,IKnowItsYourFavouriteSeason,67,293cc02d,
en-US,line:0fd51cd,Незнайомець: Я за тобою спостерігав.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,73,3aa36aa5,
en-US,line:098ec29,Незнайомець: Не тільки коли ти блукав цим парком.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,74,b80b8108,
en-US,line:0284f3a,"Незнайомець: І не після того, як слава знайшла тебе як титулованого журналіста.",Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,75,43eb3ed2,
en-US,line:074c735,Незнайомець: Але відколи ти народився.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,76,30a7d469,Line metadata: lastline
en-US,line:0cef76d,Хто ви?,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,77,80495816,
en-US,line:0bbd700,Незнайомець: Я не людина.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,78,73e274a5,
en-US,line:01e31e6,Незнайомець: «Хто» — невірне запитання.,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,79,dc9462b2,
en-US,line:0dba003,Що ви таке?,Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,81,84539fc3,
en-US,line:0360d13,"Незнайомець: «Що» — це вірне звернення, бо я не людина як ти.",Assets/Yarn/NewYarnScript.yarn,IHaveBeenWatchingYou,82,f0bac1d0,
en-US,line:0e3d6aa,Жнивець: Називай мене «Жнивець».,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,89,02865f95,
en-US,line:04a289c,"Жнивець: Але в цей момент важливо, хто є ти.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,90,7a587d9f,
en-US,line:07c48e8,"Жнивець: Ти людина, що віддала себе правді та справедливості.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,91,6180ced4,
en-US,line:08b99ca,"Жнивець: Ти дуже страждав від несправедливості у дитинстві, коли був слабким..",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,92,7977d8af,
en-US,line:0254409,"Жнивець: Причина, чому ти не можете стояти осторонь.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,93,d11807be,
en-US,line:0aca64d,"Жнивець: Я бачив те саме незліченну кількість разів і в інших душах, як твоя.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,94,34d4c00b,
en-US,line:0772d07,Жнивець: І правда…,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,95,4f931994,
en-US,line:0ea1238,"Жнивець: Ти думаєш, що якщо щось можна знищити правдою, воно заслуговує на знищення.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,96,71a19c98,
en-US,line:087ad3d,Жнивець: І ти маєш рацію щодо цієї думки.,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,97,83b5b3e0,
en-US,line:06dce91,Жнивець: Але справедливість не є правдою світу.,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,98,8607b0f7,
en-US,line:0ffe1b2,"Жнивець: Я б не називав справедливість реальністю, коли її так рідко можна побачити.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,99,e3b4a3c9,
en-US,line:057e4b6,"Жнивець: Справедливість не була реальністю для тієї молодої жінки, яку вбили.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,100,8ebc9c98,
en-US,line:05264bc,"Жнивець: Ні для її вбивці, який є сином мільярдера.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,101,f48ed849,
en-US,line:0799ada,"Жнивець: Усі знають, що він зробив, завдяки вам.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,102,26bfd1bb,
en-US,line:071fe6a,"Жнивець: Але ти знаєш, що це не закрило його за грати, де йому місце.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,103,0509686e,
en-US,line:0cb480b,"Жнивець: Сумна реальність полягає в тому, що існує сила, а не справедливість.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,104,e579b712,
en-US,line:0dfc782,"Жнивець: Але... Ти завжди діял так, щоб встановити справедливість у цьому світі та пролити світло на правду.",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,105,a173ccaa,
en-US,line:0ca9612,Жнивець: Це безцінно.,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,106,2b51fd85,
en-US,line:0622dbc,Жнивець: І все це має значення.,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,107,8b6af52e,Line metadata: lastline
en-US,line:0c0a26c,"Гравець: Отже, ти збираєшся забрати мою душу? Я помру?",Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,108,f263a72f,
en-US,line:05f58c0,Жнивець: Дай я тобі дещо покажу.,Assets/Yarn/NewYarnScript.yarn,HarvesterReveal,110,489d6ffa,
en-US,line:08178fe,Жнивець: Пішли зі мною.,Assets/Yarn/NewYarnScript.yarn,ComeWithMe,118,b2ee4d47,
en-US,line:07e41ef,"Жнивець: Я відведу тебе до світу, де справедливість є правдою.",Assets/Yarn/NewYarnScript.yarn,ComeWithMe,119,058f833b,
en-US,line:0c82dda,Розповідь про жнива,Assets/Yarn/NewYarnScript.yarn,Credits,125,8bda68e8,
en-US,line:0aa70ba,A game by: Ahmet 'Gord10' Kamil Keleş,Assets/Yarn/NewYarnScript.yarn,Credits,126,db9dc38c,
en-US,line:081f5c3,"Dialogue powered by Yarn Spinner, by Secret Lab and friends. www.yarnspinner.dev",Assets/Yarn/NewYarnScript.yarn,Credits,127,04add3a9,
uk,line:0f006ea,Ukranian translation: Oleksii Maksymenko,Assets/Yarn/NewYarnScript.yarn,Credits,127,8244951f,
en-US,line:03146c1,Дякую за увагу!,Assets/Yarn/NewYarnScript.yarn,Credits,128,88375453,
en-US,line:033713c,English,Assets/Yarn/NewYarnScript.yarn,Language,133,ba118bf7,
en-US,line:0696380,Türkçe,Assets/Yarn/NewYarnScript.yarn,Language,135,0f8b5cb2,
